query_id,category,query_from_onto,query_from_naive
42,person,김동욱 의원의 교통안전 문제 제기 내용을 기사로 작성해 달라.,김동욱 의원의 교통안전 문제 제기 내용을 기사로 작성해 달라.
44,person,황철규 의원의 청년 정책 관련 논의를 정리해 달라.,황철규 의원의 청년 정책 관련 논의를 정리해 달라.
46,person,아이수루 의원의 대중교통 서비스 개선 논의를 기사화해 달라.,아이수루 의원의 대중교통 서비스 개선 논의를 기사화해 달라.
48,person,박강산 의원의 젠트리피케이션 문제 제기를 기사로 작성해 달라.,박강산 의원의 젠트리피케이션 문제 제기를 기사로 작성해 달라.
50,person,황유정 의원의 학교 안전 문제 제기를 기사화해 달라.,황유정 의원의 학교 안전 문제 제기를 기사화해 달라.
52,person,임규호 의원의 학생 안전·시설 개선 발언을 기사로 작성해 달라.,임규호 의원의 학생 안전·시설 개선 발언을 기사로 작성해 달라.
53,person,서상열 의원의 기후 대응 정책 비판 내용을 정리해 달라.,서상열 의원의 기후 대응 정책 비판 내용을 정리해 달라.
54,person,박강산 의원의 임대료 상승 문제 관련 발언을 기사화해 달라.,박강산 의원의 임대료 상승 문제 관련 발언을 기사화해 달라.
55,person,한신 의원의 문화예산 배분 문제 발언을 정리해 달라.,한신 의원의 문화예산 배분 문제 발언을 정리해 달라.
57,person,이봉준 의원의 재정 효율성 문제 제기를 분석해 달라.,이봉준 의원의 재정 효율성 문제 제기를 분석해 달라.
59,person,임미란 의원의 직업계고 관련 문제 제기를 기사화해 달라.,임미란 의원의 직업계고 관련 문제 제기를 기사화해 달라.
60,person,박강산 의원의 도시계획 관련 논의를 기사로 작성해 달라.,박강산 의원의 도시계획 관련 논의를 기사로 작성해 달라.
67,party,광주광역시의회 더불어민주당 의원들의 기후 대응 정책 비판 내용을 정리해 달라.,광주광역시의회 더불어민주당 의원들의 기후 대응 정책 비판 내용을 정리해 달라.
86,mixed,광주 김동욱 의원과 서울 아이수루 의원의 대중교통 서비스 비판 내용을 비교해 달라.,광주 김동욱 의원과 서울 아이수루 의원의 대중교통 서비스 비판 내용을 비교해 달라.
